match_id,match_date,recovery_time,recovery_x,recovery_y,recovery_player,recovery_player_id,time_to_attack,vert_progression,progression_speed,first_action_type,action_player
5674976,2025-02-21,3534508,81.0,88.0,J. Rytting Kaneryd,248585,7.651,-1.0,-0.13070186903672723,pass,J. Rytting Kaneryd
5674976,2025-02-21,3535631,80.0,90.0,,0,6.528,0.0,0.0,pass,J. Rytting Kaneryd
5674976,2025-02-21,3550279,65.0,52.0,J. Zigiotti Olme,226313,7.773,10.0,1.2865045670912132,pass,J. Rytting Kaneryd
5674976,2025-02-21,3559927,86.0,67.0,F. Angeldahl,212489,4.395,-6.0,-1.3651877133105803,shot,H. Bennison
5674976,2025-02-21,3562012,83.0,70.0,F. Angeldahl,212489,2.31,-3.0,-1.2987012987012987,shot,H. Bennison
5674976,2025-02-21,3563214,81.0,66.0,H. Bennison,566401,1.108,-1.0,-0.9025270758122743,shot,H. Bennison
5674976,2025-02-21,3630370,25.0,22.0,M. Eriksson,52012,4.435,14.0,3.156708004509583,pass,F. Rolfö
5674976,2025-02-21,3792322,34.0,51.0,H. Bennison,566401,1.103,-5.0,-4.533091568449683,pass,J. Zigiotti Olme
5674976,2025-02-21,3792338,33.0,39.0,,0,1.087,-4.0,-3.6798528058877644,pass,J. Zigiotti Olme
5674976,2025-02-21,3793378,30.0,29.0,,0,0.047,-1.0,-21.27659574468085,pass,J. Zigiotti Olme
5674976,2025-02-21,3808939,44.0,91.0,,0,5.365,-18.0,-3.3550792171481825,pass,L. Sembrant
5674976,2025-02-21,3922657,82.0,49.0,,0,9.836,-29.0,-2.9483529890199267,pass,L. Sembrant
5674976,2025-02-21,3927271,54.0,46.0,,0,5.222,-1.0,-0.19149751053236305,pass,L. Sembrant
5674976,2025-02-21,3927435,52.0,48.0,L. Sembrant,52976,5.058,1.0,0.1977066034005536,pass,L. Sembrant
5674976,2025-02-21,3930781,56.0,46.0,,0,1.712,-3.0,-1.752336448598131,pass,L. Sembrant
5674976,2025-02-21,3930845,65.0,48.0,H. Bennison,566401,1.648,-12.0,-7.281553398058253,pass,L. Sembrant
5674976,2025-02-21,4023305,10.0,59.0,J. Falk,212517,2.56,16.0,6.25,pass,J. Rytting Kaneryd
5674976,2025-02-21,4061297,25.0,44.0,M. Eriksson,52012,4.172,29.0,6.9511025886864815,pass,J. Zigiotti Olme
5674976,2025-02-21,4192793,39.0,91.0,J. Rytting Kaneryd,248585,4.088,6.0,1.467710371819961,pass,S. Blackstenius
5674976,2025-02-21,4595637,43.0,3.0,F. Rolfö,52410,0.938,-1.0,-1.0660980810234542,pass,J. Zigiotti Olme
5674976,2025-02-21,4644987,56.0,13.0,K. Asllani,52644,1.142,-5.0,-4.378283712784588,pass,J. Zigiotti Olme
5674976,2025-02-21,4662865,90.0,87.0,S. Jakobsson,102487,2.113,5.0,2.36630383341221,pass,S. Jakobsson
5674976,2025-02-21,4818382,65.0,91.0,S. Blackstenius,248583,1.37,5.0,3.64963503649635,pass,S. Blackstenius
5674976,2025-02-21,4818382,68.0,90.0,,0,1.37,2.0,1.4598540145985401,pass,S. Blackstenius
5674976,2025-02-21,4838657,35.0,85.0,L. Sembrant,52976,1.432,5.0,3.4916201117318435,pass,H. Bennison
5674976,2025-02-21,4903671,56.0,27.0,K. Asllani,52644,2.065,-15.0,-7.263922518159807,pass,J. Zigiotti Olme
5674976,2025-02-21,5009412,47.0,28.0,F. Rolfö,52410,3.395,11.0,3.240058910162003,pass,S. Blackstenius
5674976,2025-02-21,5234628,34.0,24.0,F. Rolfö,52410,5.596,-2.0,-0.35739814152966404,pass,K. Asllani
5674976,2025-02-21,5235957,36.0,37.0,J. Zigiotti Olme,226313,4.267,-4.0,-0.9374267635340988,pass,K. Asllani
5674976,2025-02-21,5237719,34.0,28.0,K. Asllani,52644,2.505,-2.0,-0.7984031936127745,pass,K. Asllani
5674976,2025-02-21,5349170,44.0,54.0,J. Zigiotti Olme,226313,3.395,1.0,0.29455081001472755,pass,K. Asllani
5674976,2025-02-21,5351291,47.0,52.0,K. Asllani,52644,1.274,-2.0,-1.5698587127158556,pass,K. Asllani
5674976,2025-02-21,5477719,88.0,87.0,S. Jakobsson,102487,2.394,8.0,3.341687552213868,pass,S. Jakobsson
5674976,2025-02-21,5593633,27.0,19.0,J. Andersson,52072,2.537,13.0,5.124162396531337,pass,J. Andersson
5674976,2025-02-21,5685362,38.0,90.0,S. Jakobsson,102487,0.783,-21.0,-26.81992337164751,pass,H. Lundkvist
5674976,2025-02-21,5709066,35.0,30.0,J. Zigiotti Olme,226313,8.693,-23.0,-2.6458069711261936,pass,S. Jakobsson
5674976,2025-02-21,5756912,43.0,66.0,F. Rolfö,52410,9.297,-15.0,-1.6134236850596966,pass,K. Asllani
5674976,2025-02-21,5764674,19.0,39.0,J. Zigiotti Olme,226313,1.535,9.0,5.863192182410423,pass,K. Asllani
5674994,2025-04-04,4031,60.0,8.0,F. Rolfö,52410,2.004,-7.0,-3.493013972055888,pass,J. Andersson
5674994,2025-04-04,154612,68.0,76.0,F. Angeldahl,212489,1.414,1.0,0.7072135785007072,pass,F. Angeldahl
5674994,2025-04-04,155377,73.0,76.0,K. Asllani,52644,0.649,-4.0,-6.163328197226502,pass,F. Angeldahl
5674994,2025-04-04,223521,77.0,3.0,F. Rolfö,52410,3.515,-24.0,-6.827880512091038,pass,T. Eriksson
5674994,2025-04-04,244622,58.0,40.0,F. Rolfö,52410,3.722,9.0,2.418054809242343,pass,F. Rolfö
5674994,2025-04-04,313756,53.0,4.0,J. Andersson,52072,2.473,2.0,0.8087343307723414,pass,J. Zigiotti Olme
5674994,2025-04-04,315477,51.0,5.0,J. Andersson,52072,0.752,4.0,5.319148936170213,pass,J. Zigiotti Olme
5674994,2025-04-04,380949,54.0,76.0,J. Zigiotti Olme,226313,4.428,6.0,1.3550135501355014,pass,H. Lundkvist
5674994,2025-04-04,382547,52.0,91.0,H. Lundkvist,571908,2.83,8.0,2.8268551236749118,pass,H. Lundkvist
5674994,2025-04-04,392016,80.0,33.0,F. Rolfö,52410,1.832,-1.0,-0.5458515283842794,pass,F. Rolfö
5674994,2025-04-04,445698,40.0,96.0,H. Lundkvist,571908,5.148,18.0,3.4965034965034967,pass,J. Rytting Kaneryd
5674994,2025-04-04,446726,42.0,97.0,J. Rytting Kaneryd,248585,4.12,16.0,3.883495145631068,pass,J. Rytting Kaneryd
5674994,2025-04-04,448235,44.0,97.0,J. Rytting Kaneryd,248585,2.611,14.0,5.361930294906165,pass,J. Rytting Kaneryd
5674994,2025-04-04,463761,64.0,70.0,J. Zigiotti Olme,226313,5.999,-27.0,-4.500750125020837,pass,N. Björn
5674994,2025-04-04,564469,67.0,60.0,F. Rolfö,52410,1.963,2.0,1.0188487009679061,pass,F. Rolfö
5674994,2025-04-04,574811,75.0,31.0,F. Rolfö,52410,2.55,8.0,3.1372549019607847,pass,F. Rolfö
5674994,2025-04-04,694180,21.0,77.0,J. Rytting Kaneryd,248585,8.023,33.0,4.113174622958993,pass,K. Asllani
5674994,2025-04-04,870345,78.0,80.0,K. Asllani,52644,4.504,3.0,0.6660746003552398,pass,K. Asllani
5674994,2025-04-04,1085596,36.0,74.0,T. Eriksson,1064015,3.383,-15.0,-4.433934377771209,pass,J. Andersson
5674994,2025-04-04,1094497,38.0,92.0,J. Rytting Kaneryd,248585,3.756,-1.0,-0.26624068157614483,pass,F. Angeldahl
5674994,2025-04-04,1096259,26.0,89.0,H. Lundkvist,571908,1.994,11.0,5.516549648946841,pass,F. Angeldahl
5674994,2025-04-04,1100934,31.0,86.0,H. Lundkvist,571908,7.096,-12.0,-1.6910935738444193,pass,H. Lundkvist
5674994,2025-04-04,1102021,32.0,72.0,,0,6.009,-13.0,-2.163421534365119,pass,H. Lundkvist
5674994,2025-04-04,1102895,31.0,90.0,,0,5.135,-12.0,-2.3369036027263874,pass,H. Lundkvist
